procedure_id,algorithm_name,step_sequence,assumptions,data_requirements,embedding_text
DISC001,PC Algorithm,"1. Start with complete undirected graph|2. For each pair of variables (X,Y), search for conditioning sets S that make X,Y independent|3. If such S found, remove edge X-Y|4. Orient V-structures (X-Z-Y where X,Y not adjacent)|5. Orient remaining edges using logical rules",causal_sufficiency_acyclicity,"observational_data_continuous_or_discrete","PC algorithm for causal discovery. Constraint-based method starting with complete graph and removing edges based on conditional independence tests. Assumes causal sufficiency and acyclicity. Outputs completed partially directed acyclic graph (CPDAG)."
DISC002,FCI Algorithm,"1. Start with complete undirected graph|2. Perform adjacency search allowing for latent variables|3. Identify potential d-separation sets|4. Orient edges considering latent variables|5. Output PAG (Partial Ancestral Graph)","allows_latent_variables_selection_bias","observational_data_large_sample","FCI (Fast Causal Inference) algorithm. Constraint-based discovery that allows for latent confounders and selection bias. Outputs Partial Ancestral Graph (PAG). More robust than PC but computationally intensive."
DISC003,Granger Causality,"1. Check stationarity of time series X and Y|2. Regress Y on lagged Y|3. Regress Y on lagged Y and led X|4. F-test for significance of X terms|5. Repeat for X on Y","temporal_precedence_linear_dynamics","time_series_data","Granger causality test. Statistical hypothesis test for determining if one time series is useful in forecasting another. Assumes linear dynamics and no instantaneous causation. Not true physical causality."
DISC004,LiNGAM,"1. Perform ICA (Independent Component Analysis) to decompose residuals|2. Permute rows to achieve strictly lower triangular matrix|3. Estimate connection strengths|4. Verify non-Gaussianity of error terms",linear_non_gaussian_acyclic_model,"continuous_non_gaussian_data","LiNGAM (Linear Non-Gaussian Acyclic Model). Functional causal model based on ICA. Identifies direction of causality using non-Gaussianity of error terms. Assumes linear relationships and no unmeasured confounders."
DISC005,GES Algorithm,"1. Start with empty graph|2. Forward phase: add edges that increase score (e.g., BIC)|3. Backward phase: remove edges that increase score|4. Return equivalence class of DAGs",score_based_causal_sufficiency,"observational_data","GES (Greedy Equivalence Search). Score-based causal discovery algorithm. Iteratively adds and removes edges to maximize a scoring function like BIC. Returns the Markov equivalence class (CPDAG) of the true causal DAG."
DISC006,Difference-in-Differences,"1. Identify treatment and control groups|2. Confirm parallel trends assumption pre-treatment|3. Measure outcome pre- and post-treatment|4. Calculate (Treatment_post - Treatment_pre) - (Control_post - Control_pre)",parallel_trends,"panel_data_longitudinal","Difference-in-Differences (DiD). Quasi-experimental design for estimating causal effects. Compares changes in outcomes over time between a treatment group and a control group. Relies on parallel trends assumption."
DISC007,Instrumental Variables,"1. Identify valid instrument Z (associated with X, independent of U, affects Y only through X)|2. 1st stage: Regress X on Z|3. 2nd stage: Regress Y on predicted X|4. Check F-statistic for instrument strength",valid_instrument_exclusion_restriction,"observational_data_with_instrument","Instrumental Variables (IV) regression. Method for estimating causal effects when confounders are unmeasured. Requires a valid instrument variable satisfying relevance and exclusion restrictions."
DISC008,Regression Discontinuity,"1. Identify cutoff threshold for treatment assignment|2. Verify continuity of potential outcomes at cutoff|3. Estimate effect at the cutoff using local regression|4. Checking for manipulation of forcing variable",continuity_at_cutoff,"data_with_assignment_threshold","Regression Discontinuity Design (RDD). Quasi-experimental design exploiting a cutoff rule for treatment assignment. Estimates local causal effect comparisons near the threshold. High internal validity."
DISC009,Propensity Score Matching,"1. Select covariates influencing selection|2. Estimate propensity score P(Treatment|Covariates)|3. Match treated/control units on propensity score|4. Check balance of covariates after matching|5. Estimate treatment effect on matched sample",strongly_ignorable_treatment_assignment,"observational_data_rich_covariates","Propensity Score Matching (PSM). observational method to reduce selection bias by matching treated and control units with similar probabilities of receiving treatment. Mimics some characteristics of an RCT."
DISC010,Synthetic Control Method,"1. Define donor pool of control units|2. Construct weighted combination of donors to match treated unit pre-treatment|3. Compare post-treatment trajectories|4. Placebo tests for inference",convex_hull_pre_treatment_fit,"longitudinal_aggregate_data","Synthetic Control Method. Constructs a data-driven counterfactual for a single treated unit using a weighted combination of control units. Useful for comparative case studies (e.g., policy impact on a region)."
